ID,Binomial,Replicate,Class,Order,Family,Genus,Species,Subspecies,Common_name,Location,Latitude,Longitude,System,Units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2742,Ulvaria_subbifurcata,0,Actinopterygii,Perciformes,Stichaeidae,Ulvaria,subbifurcata,,Radiated shanny,NAFO 4X,42.72956311,-65.0988351,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.056092851,NULL,NULL,NULL,NULL,NULL,0.162270858,NULL,0.087169107,0.188031289,0.007154216,0.009009009,0.026976395,0.02247191,NULL,0.055566182,NULL,NULL,NULL,0.044750924,0.104521735,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2743,Ulvaria_subbifurcata,0,Actinopterygii,Perciformes,Stichaeidae,Ulvaria,subbifurcata,,Radiated shanny,NAFO 5Ze,41.62750249,-66.21484739,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.046875,0.05,0.043478261,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2744,Ulvaria_subbifurcata,0,Actinopterygii,Perciformes,Stichaeidae,Ulvaria,subbifurcata,,Radiated shanny,"Southern Gulf of St. Lawrence, NAFO 4T",47,-63,Marine,Average Biomass (kg) per standard tow (ie. 1.75 nautical mile tow),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000293175,0.000914838,NULL,NULL,NULL,0.000546703,NULL,NULL,NULL,0.000131846,NULL,0.000343261,NULL,0.000797536,2.93E-05,0.001749372,0.002293456,0.002942897,NULL,NULL,0.000481352,5.93E-05,NULL,NULL,NULL,NULL,3.72E-05,NULL,1.63E-05,7.9E-05,NULL,NULL,NULL,NULL,NULL,0.006162672,0.001464597,0.000205701,NULL,NULL,NULL,NULL,2.79E-05,NULL,NULL,NULL,NULL,NULL,NULL
2745,Urophycis_chuss,0,Actinopterygii,Gadiformes,Phycidae,Urophycis,chuss,,Red hake,NAFO 4Vn,46.44191714,-59.34894137,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.507518786,0.031578933,0.033333333,NULL,NULL,13.68325792,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2746,Urophycis_chuss,0,Actinopterygii,Gadiformes,Phycidae,Urophycis,chuss,,Red hake,NAFO 4Vs,43.43761069,-57.69088789,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.09574794,0.835840987,0.468928368,0.353973175,0.2455,0.08045977,NULL,0.032198147,1.353726447,0.020761255,0.993665185,0.485294111,0.026395179,0.082817342,0.260289107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2747,Urophycis_chuss,0,Actinopterygii,Gadiformes,Phycidae,Urophycis,chuss,,Red hake,NAFO 4X,42.72956311,-65.0988351,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.572858915,0.02252817,NULL,NULL,0.857142857,NULL,1.451254195,1.64067644,3.963562238,5.038313574,6.188362728,7.061287297,2.010919586,1.654800892,2.917237449,2.609420319,1.811725985,1.727698681,1.521841529,1.649550881,1.699988258,2.591681574,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2748,Urophycis_chuss,0,Actinopterygii,Gadiformes,Phycidae,Urophycis,chuss,,Red hake,NAFO 5Y,44.26602876,-67.06471654,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.75,NULL,8.133333333,5.412745167,1.4210525,NULL,NULL,3.176471,NULL,4.5,2.396285,NULL,NULL,0.333333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2749,Urophycis_chuss,0,Actinopterygii,Gadiformes,Phycidae,Urophycis,chuss,,Red hake,NAFO 5Ze,41.62750249,-66.21484739,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.673796765,NULL,2.486842125,79.66819856,7.690066604,2.153756842,0.040909091,0.301470583,0.159090909,2.594948848,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2750,Urophycis_chuss,1,Actinopterygii,Gadiformes,Phycidae,Urophycis,chuss,,Squirrel Or Red Hake,NAFO 4VW,44.19795,-61.56738,Marine,Biomass (Kg),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2514462.63,2571516.65,2534438.37,1351785.56,3412842.48,2409429.7,2065267.28,1566714.81,382128.891,343435.074,543053.422,624050.482,1474785.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2751,Urophycis_chuss,0,Actinopterygii,Gadiformes,Phycidae,Urophycis,chuss,,Squirrel Or Red Hake,NAFO 4VW,44.19795,-61.56738,Marine,Biomass (Kg),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1366638.01,830596.968,1029679.63,1751546.85,651763.346,452814.955,775662.95,685689.706,554295.913,582719.726,741063.044,276886.252,458553.721,652969.318,657747.549,406789.313,1037819.49,722923.478,1049515.45,1019428.46,1015234.87,2680957.5,NULL,NULL,NULL,NULL
2752,Urophycis_chuss,1,Actinopterygii,Gadiformes,Phycidae,Urophycis,chuss,,Squirrel Or Red Hake,NAFO 4X,43.2532,-65.50048,Marine,Biomass (Kg),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3690156.35,1986517.09,7738074.15,634149.7,906289.871,2449434.9,1018144.64,1109672.6,523661.284,518775.657,1384427.85,668810,1143470,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2753,Urophycis_chuss,0,Actinopterygii,Gadiformes,Phycidae,Urophycis,chuss,,Squirrel Or Red Hake,NAFO 4X,43.2532,-65.50048,Marine,Biomass (Kg),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1759775.46,3063669.29,965718.803,1367907.55,1102013.6,1076468.84,2164861.72,1341990.09,1342671.09,513548.922,968835.695,579228.474,980011.642,900391.898,1573885.43,661618.692,794561.217,589118.594,1932980.8,1663116.27,2187674.75,1567702.34,NULL,NULL,NULL,NULL
2754,Ursus_arctos,0,Mammalia,Carnivora,Ursidae,Ursus,arctos,,Grizzly Bear,Alberta,52.42922,-117.30102,Terrestrial,Estimated number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,790,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,691,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2755,Ursus_arctos,0,Mammalia,Carnivora,Ursidae,Ursus,arctos,horribilis,Grizzly Bear,"Vancouver Island, British Columbia",49.65063,-125.44939,Terrestrial,Estimated number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,240,NULL,NULL,240,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2756,Ursus_arctos,0,Mammalia,Carnivora,Ursidae,Ursus,arctos,horribilis,Grizzly Bear,"Lower Mainland, British Columbia",49.21759,-122.5003,Terrestrial,Estimated number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2757,Ursus_arctos,0,Mammalia,Carnivora,Ursidae,Ursus,arctos,horribilis,Grizzly Bear,"Thompson-Nicola, British Columbia",50.25503,-120.69689,Terrestrial,Estimated number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,300,NULL,NULL,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2758,Ursus_arctos,0,Mammalia,Carnivora,Ursidae,Ursus,arctos,horribilis,Grizzly Bear,"Okanagan, British Columbia",49.85923,-119.03137,Terrestrial,Estimated number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,160,NULL,NULL,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2759,Ursus_arctos,0,Mammalia,Carnivora,Ursidae,Ursus,arctos,horribilis,Grizzly Bear,"East Kootenay, British Columbia",49.12298,-117.93544,Terrestrial,Estimated number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1050,NULL,NULL,1150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2760,Ursus_arctos,0,Mammalia,Carnivora,Ursidae,Ursus,arctos,horribilis,Grizzly Bear,"West Kootenay, British Columbia",49.40409,-118.94213,Terrestrial,Estimated number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,700,NULL,NULL,800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2761,Ursus_arctos,0,Mammalia,Carnivora,Ursidae,Ursus,arctos,horribilis,Grizzly Bear,"Cariboo, British Columbia",52.40318,-123.45536,Terrestrial,Estimated number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1500,NULL,NULL,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2762,Ursus_arctos,0,Mammalia,Carnivora,Ursidae,Ursus,arctos,horribilis,Grizzly Bear,"Skeena, British Columbia",54.24977,-129.83266,Terrestrial,Estimated number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3800,NULL,NULL,4300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2763,Ursus_arctos,0,Mammalia,Carnivora,Ursidae,Ursus,arctos,horribilis,Grizzly Bear,"Omineca, British Columbia",55.95301,-124.77368,Terrestrial,Estimated number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1700,NULL,NULL,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2764,Ursus_arctos,0,Mammalia,Carnivora,Ursidae,Ursus,arctos,horribilis,Grizzly Bear,"Peace, British Columbia",56.43743,-123.16816,Terrestrial,Estimated number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1150,NULL,NULL,1150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2765,Ursus_arctos,0,Mammalia,Carnivora,Ursidae,Ursus,arctos,horribilis,Grizzly Bear,"Liard, British Columbia",59.41666,-126.08333,Terrestrial,Estimated number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1650,NULL,NULL,1650,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2766,Xema_sabini,0,Aves,Charadriiformes,Laridae,Xema,sabini,,Sabine's gull,"Nasaruvaalik Island, north-east of Crozier Island, Nunavut",75.83,-96.3,Marine,Annual Mean Number,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,14,17,21,41,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2767,Xeneretmus_latifrons,0,Actinopterygii,Scorpaeniformes,Agonidae,Xeneretmus,latifrons,,Blacktip poacher,"Queen Charlotte Sound, British Columbia",51.85732,-128.86062,Marine,CPUE (Weight/ (minute towed*tow length)),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.69E-05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.41E-06,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2768,Xeneretmus_latifrons,0,Actinopterygii,Scorpaeniformes,Agonidae,Xeneretmus,latifrons,,Blacktip poacher,"Haida Gwaii, British Columbia",52,-132,Marine,CPUE (Weight/ (minute towed*tow length)),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.92E-07,1.9E-07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2769,Xeneretmus_leiops,0,Actinopterygii,Scorpaeniformes,Agonidae,Xeneretmus,leiops,,Smooth-eye poacher,"Queen Charlotte Sound, British Columbia",51.85732,-128.86062,Marine,CPUE (Weight/ (minute towed*tow length)),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.58E-06,NULL,1.67E-05,NULL,1.06E-06,NULL,NULL,NULL,NULL,NULL
2770,Xeneretmus_leiops,0,Actinopterygii,Scorpaeniformes,Agonidae,Xeneretmus,leiops,,Smooth-eye poacher,"West Coast Vancouver Island, British Columbia",49.31,-126.78,Marine,CPUE (Weight/ (minute towed*tow length)),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.94E-07,NULL,5.43E-06,NULL,4.72E-05,NULL,2.72E-05,NULL,0.000242691,NULL,1.76E-05,NULL,NULL,NULL,NULL
2771,Xeneretmus_leiops,0,Actinopterygii,Scorpaeniformes,Agonidae,Xeneretmus,leiops,,Smooth-eye poacher,"Haida Gwaii, British Columbia",52,-132,Marine,CPUE (Weight/ (minute towed*tow length)),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.56E-06,NULL,NULL,NULL,4.83E-05,NULL,1.95E-06,NULL,NULL,NULL,9.23E-06,NULL,NULL,NULL,NULL
2772,Xeneretmus_triacanthus,0,Actinopterygii,Scorpaeniformes,Agonidae,Xeneretmus,triacanthus,,Bluespotted poacher,"Queen Charlotte Sound, British Columbia",51.85732,-128.86062,Marine,CPUE (Weight/ (minute towed*tow length)),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.63E-06,4.97E-06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2773,Zenopsis_conchifer,1,Actinopterygii,Zeiformes,Zeidae,Zenopsis,conchifer,,Silvery John Dory,NAFO 4W,42.86687747,-61.18130929,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.008237983,NULL,NULL,NULL,NULL,0.005190314,0.007601351,0.045895286,0.052941179,0.007202884,NULL,NULL,0.007617439,NULL,0.010514019,0.020408163,0.045796731,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2774,Zenopsis_conchifer,0,Actinopterygii,Zeiformes,Zeidae,Zenopsis,conchifer,,Silvery John Dory,NAFO 4X,42.72956311,-65.0988351,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.100158986,NULL,0.006744102,NULL,NULL,NULL,NULL,NULL,NULL,0.015151515,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2775,Zenopsis_conchifer,0,Actinopterygii,Zeiformes,Zeidae,Zenopsis,conchifer,,American John Dory,NAFO 4VW,43.2532,-65.50048,Marine,Biomass (Kg),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39265.8942,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,127.677124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,310.824795,NULL,NULL,NULL,NULL,NULL,287.326492,NULL,418.940562,NULL,NULL,NULL,10079.375,8211.6984,NULL,NULL,NULL,NULL
2776,Zenopsis_conchifer,0,Actinopterygii,Zeiformes,Zeidae,Zenopsis,conchifer,,American John Dory,NAFO 4X,43.2532,-65.50048,Marine,Biomass (Kg),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47565.8017,19555.9802,NULL,NULL,NULL,2561.36587,NULL,NULL,13865.006,NULL,NULL,NULL,NULL,NULL,NULL,11439.0906,10212.5841,NULL,NULL,11809.1079,NULL,231566.194,NULL,NULL,NULL,NULL
